DATE, BTC_HASH, BTC_ENTR, LTC_HASH, LTC_ENTR
26/03/2018,24948705793397000000,73.6644174714884,188393125297190,54.6495583390681
27/03/2018,25596322994135000000,73.70138907002107,176123328831370,54.552398036323225
28/03/2018,25674358331555000000,73.70578071367912,196376002590280,54.70943066008238
29/03/2018,24363793874532000000,73.63019129728137,189011501141390,54.6542860424384
30/03/2018,27794614074862000000,73.82025784392032,187668784200460,54.644000719037585
31/03/2018,24571125681464000000,73.64241644702102,204114036507900,54.765187415910034
01/04/2018,25310432205209000000,73.68518463671855,195235219251910,54.70102534875025
02/04/2018,27528111432079000000,73.8063581304947,207863093207800,54.79144564449023
03/04/2018,27723408774395000000,73.81655715052655,189741430564400,54.659846748504776
04/04/2018,26382977672692000000,73.74505989460911,203868572769360,54.76345141367373
05/04/2018,26757908926376000000,73.76541787019382,204640194552060,54.76890155982639
06/04/2018,26218032715689000000,73.73601192957145,211856109132320,54.81889675011226
07/04/2018,29001951444485000000,73.88160247099465,210828598825910,54.81188260024787
08/04/2018,28284297703927000000,73.84545384281932,200556111138240,54.73981794605122
09/04/2018,28332762549671000000,73.84792377005952,207584896182250,54.78951349635429
10/04/2018,26356837203852000000,73.74362975201424,213766316714020,54.831846563567666
11/04/2018,28613288810095000000,73.86213782384885,195906059485480,54.705974040590064
12/04/2018,27905745809286000000,73.82601469774366,202167128185360,54.75136045701417
13/04/2018,27665618884825000000,73.81354669084267,213061529935090,54.82708214473729
14/04/2018,30270834843068000000,73.9433809573334,217815074403510,54.85891582152574
15/04/2018,27628382610799000000,73.81160360137379,214360306968120,54.83584980604957
16/04/2018,28835906813734000000,73.87331888544409,213640461420370,54.83099692419574
17/04/2018,29136608491419000000,73.88828545046417,204185548273610,54.76569277851463
18/04/2018,30538513295665000000,73.95608232257699,215685597395020,54.84474186133981
19/04/2018,32080343374316000000,74.02714207722377,232446978726440,54.952713693196095
20/04/2018,32127784497778000000,74.02927399068321,218312351126300,54.862205772722675
21/04/2018,27381829415621000000,73.79867133150289,236743496071030,54.979136810758504
22/04/2018,30732363520493000000,73.96521121727237,240790706566280,55.003591730578556
23/04/2018,30108693302278000000,73.93563259074979,239437537365430,54.995461364707936
24/04/2018,29174173283815000000,73.89014426784061,261227772907370,55.12112030671339
25/04/2018,27646548997112000000,73.81255189947659,237372797528670,54.982966633262315
26/04/2018,25735573901952000000,73.70921644828289,232006230598110,54.94997556880755
27/04/2018,25991210440055000000,73.72347631666956,237976344265010,54.98663019031886
28/04/2018,26483167957495000000,73.75052820323496,248995923899540,55.05193414427234
29/04/2018,31034751760589000000,73.9793370995552,256733094975940,55.096081301899346
30/04/2018,29643606783090000000,73.9131734865969,264894902749070,55.141232101775635
01/05/2018,31661504492854000000,74.00818230451024,273644025850440,55.18811237913683
02/05/2018,30421191117413000000,73.9505291350948,262867970324580,55.13015038351092
03/05/2018,29641815081449000000,73.91308628542697,250488355453030,55.06055555678797
04/05/2018,29591251218899000000,73.91062319323794,264873644355940,55.14111631770906
05/05/2018,28285926095496000000,73.84553689967447,277313359974950,55.207329140905124
06/05/2018,31442024919237000000,73.99814662592905,288470924470680,55.264237933159365
07/05/2018,27854354701489000000,73.82335538699357,289442216829350,55.26908738159157
08/05/2018,28664120093875000000,73.86469848647961,287784462831520,55.26080072357188
09/05/2018,30633247896847000000,73.9605508304612,280464918097520,55.22363234179571
10/05/2018,32400022293042000000,74.04144729912153,300752648149240,55.32438945941243
11/05/2018,27176008870315000000,73.78778608758475,285714783088610,55.25038770320467
12/05/2018,30726124067899000000,73.96491828369398,298405010916410,55.31308378093153
13/05/2018,33163985731580000000,74.07506989734367,306800107527530,55.35311100739672
14/05/2018,26762301438945000000,73.76565468002963,299815423389310,55.31988662060008
15/05/2018,30676155236686000000,73.96257016887736,292733405063600,55.28539940617473
16/05/2018,33227071340170000000,74.07781163172992,313934023927800,55.38627341449031
17/05/2018,34238036438263000000,74.12105245847069,311899052802090,55.3768911903556
18/05/2018,26852459624851000000,73.77050673523696,317142457595040,55.40094305076458
19/05/2018,30876601601514000000,73.9719664660898,294322426093210,55.29320949249462
20/05/2018,32193615017243000000,74.03222707932395,303564926543340,55.337817132383066
21/05/2018,29429765318149000000,73.90272853119328,322907691083400,55.42693382269444
22/05/2018,34548836876722000000,74.13408963492643,311542572971030,55.3752413430588
23/05/2018,29912647358198000000,73.92620809226264,324693048900110,55.434888518342206
