date,hashrate
2014/06/07,302410887736
2014/06/08,305341886548
2014/06/09,337939265231
2014/06/10,339254982475
2014/06/11,280204313789
2014/06/12,284430462013
2014/06/13,273631416090
2014/06/14,294243561355
2014/06/15,332362624155
2014/06/16,338672106034
2014/06/17,333039541095
2014/06/18,347631639956
2014/06/19,376200791624
2014/06/20,389705883638
2014/06/21,354845846508
2014/06/22,341149648529
2014/06/23,369023156749
2014/06/24,372549843805
2014/06/25,394304244668
2014/06/26,384266953838
2014/06/27,410162468985
2014/06/28,418102297135
2014/06/29,438028115807
2014/06/30,413929666618
2014/07/01,437964741915
2014/07/02,447204469747
2014/07/03,474997594287
2014/07/04,480953901965
2014/07/05,478501109505
2014/07/06,515979894486
2014/07/07,521454101855
2014/07/08,571996422720
2014/07/09,610561068112
2014/07/10,588726576301
2014/07/11,592795167706
2014/07/12,561437199259
2014/07/13,604285686631
2014/07/14,578828354767
2014/07/15,571745798041
2014/07/16,607491600303
2014/07/17,594815451250
2014/07/18,658762698641
2014/07/19,695096185916
2014/07/20,615746254425
2014/07/21,609812251324
2014/07/22,607197645827
2014/07/23,632885580428
2014/07/24,663349611952
2014/07/25,638692900527
2014/07/26,690214655162
2014/07/27,692552598458
2014/07/28,699089980259
2014/07/29,750648408426
2014/07/30,701871629338
2014/07/31,720051938876
2014/08/01,726406430894
2014/08/02,690242747448
2014/08/03,700243392103
2014/08/04,721898628262
2014/08/05,711090939214
2014/08/06,745654773743
2014/08/07,765767420733
2014/08/08,848843932014
2014/08/09,826070276615
2014/08/10,785974563531
2014/08/11,804337931205
2014/08/12,837576503052
2014/08/13,827911972961
2014/08/14,839190581803
2014/08/15,879331848551
2014/08/16,825096949292
2014/08/17,836662808834
2014/08/18,776879371941
2014/08/19,781680560468
2014/08/20,772350655777
2014/08/21,817538406031
2014/08/22,849957341839
2014/08/23,851594031517
2014/08/24,777532557672
2014/08/25,807206912963
2014/08/26,805408734048
2014/08/27,806222033027
2014/08/28,801653856434
2014/08/29,814991905533
2014/08/30,773243889912
2014/08/31,771106075866
2014/09/01,784400921094
2014/09/02,805817509083
2014/09/03,807561672830
2014/09/04,765735870114
2014/09/05,780814621876
2014/09/06,775297600695
2014/09/07,848061170644
2014/09/08,821651727568
2014/09/09,836691810812
2014/09/10,788583082437
2014/09/11,793597295874
2014/09/12,873782431396
